Pokemon,Trainer,Level,Move 1,Move 2,Move 3,Move 4
Magnezone,Trainer Rival Bridge Swampert,65,Thunder,Flash Cannon,Electroweb,Body Press
Magnezone,Team Aqua Grunt Seafloor Cavern #1,86,Thunder,Flash Cannon,Hidden Power Grass,Mirror Coat
Magnezone,Swimmer♂ Clarence,87,Thunder,Flash Cannon,Explosion,Hidden Power Grass
Magnezone,Cool Trainer Katelynn,94,Flash Cannon,Discharge,Explosion,Hidden Power Fire
Makuhita,Battle Girl Lilith,18,Arm Thrust,Rock Throw,Bullet Punch,Fake Out
Malamar,Team Aqua Grunt Weather Inst #1,62,Night Slash,Psycho Cut,Superpower,Hypnosis
Malamar,Hex Maniac Valerie,74,Night Slash,Psycho Cut,Superpower,Substitute
Malamar,Team Aqua Grunt Seafloor Cavern #3,86,Night Slash,Psycho Cut,Superpower,Facade
Mamoswine,Rich Boy Santos,45,Earthquake,Icicle Crash,Ice Shard,Stealth Rock
Mamoswine,Young Couple Brian And Casey,70,High Horsepower,Icicle Crash,Ice Shard,Knock Off
Mamoswine,Aqua Admin Matt Aqua Hideout,80,Earthquake,Icicle Crash,Ice Shard,Stealth Rock
Mamoswine,Beauty Tiffany & Olivia,90,Blizzard,High Horsepower,Freeze-Dry,Ice Shard
Mamoswine,Cool Trainer Hope & Albert,94,Earthquake,Icicle Crash,Freeze-Dry,Knock Off
Mamoswine,Battle Girl Helene,95,Earthquake,Icicle Crash,Ice Shard,Superpower
Mamoswine,Elite Four Glacia,100,Earthquake,Icicle Crash,Stone Edge,Stealth Rock
Manaphy,Champion Wallace,100,Scald,Energy Ball,Ice Beam,Tail Glow
Mandibuzz,Collector John,45,Knock Off,Protect,Roost,Toxic
Mandibuzz,Psychic Kayla,74,Foul Play,Knock Off,Infestation,Roost
Mandibuzz,Beauty Tiffany & Olivia,89,Foul Play,Dark Pulse,Fake Tears,Tailwind
Manectric,Breeder Corgi,27,Thunderbolt,Flamethrower,Crunch,Ice Fang
Manectric,Gentleman Walter,70,Thunderbolt,Flamethrower,Hidden Power Grass,Magnet Rise
Manectric,Team Magma Grunt Magma Hideout #4,76,Thunderbolt,Flamethrower,Hidden Power Ice,Double Team
Manectric,Expert Mollie & Conor,90,Thunderbolt,Flamethrower,Hidden Power Grass,Protect
Manectric-Mega,Bird Keeper Presley & Auron,85,Thunderbolt,Flamethrower,Hidden Power Grass,Protect
Mankey,Battle Girl Laura,17,Outrage,Thrash,Stomping Tantrum,Smelling Salts
Mankey,Battle Girl Lilith,19,Power-Up Punch,Reversal,,
Mantine,Bird Keeper Hugh,60,Hurricane,Scald,Hidden Power Grass,Roost
Mantine,Trainer Rival Bridge Sceptile,65,Hydro Pump,Hurricane,Surf,Helping Hand
Mantine,Swimmer♂ Rodney,89,Hydro Pump,Hurricane,Ice Beam,Roost
Maractus,Ruin Maniac Bryan & Celia,45,Energy Ball,Hidden Power Fire,Weather Ball,Spiky Shield
Mareanie,Team Aqua Grunt Museum #2,16,Venoshock,Baneful Bunker,Soak,Toxic
Marill,Gentleman Clifford & Macey,1,Misty Explosion,,,
Marowak,Sr. And Jr. Anna And Meg,31,Bone Rush,Flamethrower,Ice Beam,Ancient Power
Marowak,Cool Trainer Jody,40,Bonemerang,Double-Edge,Retaliate,Knock Off
Marowak,Team Magma Grunt Magma Hideout #5,76,Earthquake,Stone Edge,Fire Punch,Knock Off
Marowak,Pokémaniac Hambino,94,Bonemerang,Stone Edge,Fire Punch,Stealth Rock
Marowak-Alola,Parasol Lady Madeline,44,Shadow Bone,Fire Punch,Bonemerang,Low Kick
Marowak-Alola,Leader Flannery,58,Flare Blitz,Poltergeist,Bonemerang,Detect
Marowak-Alola,Team Magma Grunt Magma Hideout #2,75,Flare Blitz,Shadow Bone,Earthquake,Substitute
Marowak-Alola,Twins Miu And Yuki,95,Flare Blitz,Bonemerang,Protect,Stealth Rock
Marshadow,Elite Four Phoebe,100,Close Combat,Shadow Sneak,Knock Off,Bulk Up
Masquerain,School Kid Jerry & Johnson,24,Bug Buzz,Air Cutter,Ice Beam,Giga Drain
Masquerain,Expert Kevin,68,Bug Buzz,Hydro Pump,Sticky Web,Stun Spore
Masquerain,Swimmer♂ Rodney,88,Bug Buzz,Air Slash,Hydro Pump,Stun Spore
Mawile,Ruin Maniac Georgie,13,Covet,Metal Claw,Fire Fang,
Mawile-Mega,Cool Trainer Halle,96,Play Rough,Iron Head,Sucker Punch,Swords Dance
Medicham,Cool Trainer Jody,40,High Jump Kick,Zen Headbutt,Reversal,Counter
Medicham,Sr. And Jr. Kim And Iris,84,Close Combat,Zen Headbutt,Rock Slide,Fake Out
Medicham,Hex Maniac Kathleen & Nicholas,85,Close Combat,Reversal,Zen Headbutt,Thunder Punch
Medicham,Psychic Jacki & Alberto,96,Close Combat,Zen Headbutt,Reversal,Thunder Punch
Medicham-Mega,Winstrate Vicky,44,High Jump Kick,Zen Headbutt,Thunder Punch,Fake Out
Meditite,Black Belt Cristian,19,Brick Break,Rock Throw,Fake Out,Detect
Meganium,Collector Edwin,39,Seed Bomb,Earthquake,Body Slam,Swords Dance
Melmetal,Trainer Rival Lilycove Blaziken,72,Double Iron Bash,Body Press,Ice Punch,Thunder Punch
Melmetal,Trainer Rival Lilycove Sceptile,72,Double Iron Bash,Body Press,Ice Punch,Thunder Punch
Melmetal,Trainer Rival Lilycove Swampert,72,Double Iron Bash,Body Press,Ice Punch,Thunder Punch
Meloetta,Leader Norman,41,Close Combat,Body Slam,Zen Headbutt,Relic Song
Meowstic,Young Couple Dez And Luke,73,Psychic,Shadow Ball,Light Screen,Reflect
Meowstic-F,Triathlete Alyssa,37,Psychic,Thunderbolt,Shadow Ball,Signal Beam
Meowstic-F,Magma Grunt Mt Chimney #2 & Grunt One,53,Expanding Force,Thunderbolt,Dazzling Gleam,Shadow Ball
Meowstic-F,Psychic Hannah & Sylvia,85,Psychic,Thunderbolt,Fake Out,Imprison
Metagross,Trainer Rival Bridge Blaziken,65,Meteor Mash,Zen Headbutt,Bullet Punch,Thunder Punch
Metagross,Cool Trainer Jennifer & Callie,69,Meteor Mash,Zen Headbutt,Thunder Punch,Icy Wind
Metagross,Psychic Preston & Maura,85,Meteor Mash,Zen Headbutt,Bullet Punch,Explosion
Metagross,Team Aqua Grunt Seafloor Cavern #5,87,Meteor Mash,Earthquake,Thunder Punch,Agility
Metagross,Swimmer♂ Herman,89,Meteor Mash,Earthquake,Thunder Punch,Power-Up Punch
Metagross,Trainer Steven Space Center,89,Meteor Mash,Hammer Arm,Ice Punch,Trick Room
Metagross,Cool Trainer Specter,95,Meteor Mash,Body Press,Stored Power,Cosmic Power
Metagross,Dragon Tamer Nicolas,95,Meteor Mash,Zen Headbutt,Explosion,Ice Punch
Metagross,Psychic Jacki & Alberto,95,Meteor Mash,Zen Headbutt,Earthquake,Ice Punch
Metagross-Mega,Leader Liza,85,Meteor Mash,Zen Headbutt,Earthquake,Pursuit
Mew,Magma Leader Maxie Magma Hideout,79,Psychic Fangs,Flare Blitz,Dragon Dance,Soft-Boiled
Mienfoo,Tuber Hailey,14,Force Palm,Reversal,Rock Tomb,Helping Hand
Mienfoo,Black Belt Takao,18,Drain Punch,Rock Slide,Fake Out,Detect
Mienshao,Triathlete Abigail,32,Jump Kick,Stone Edge,Blaze Kick,Bounce
Mienshao,Black Belt Nob,51,High Jump Kick,Stone Edge,Poison Jab,Grass Knot
Mienshao,Aqua Admin Shelly Weather Institute,65,Close Combat,Reversal,Knock Off,Fake Out
Mienshao,Psychic Virgil & Nate,85,Close Combat,Stone Edge,Fling,Psych Up
Mienshao,Psychic Cameron & Kindra,95,Close Combat,Rock Slide,Knock Off,Detect
Mightyena,Rich Boy Winston,22,Crunch,Ice Fang,Fire Fang,Covet
Milotic,Fisherman Nolan,49,Scald,Ice Beam,Mirror Coat,Recover
Milotic,Beauty Johanna,58,Aqua Tail,Dragon Tail,Coil,Rest
Milotic,Ranger Lydian,60,Scald,Flip Turn,Hypnosis,Recover
Milotic,Cool Trainer Carolina & Cory,64,Hydro Pump,Muddy Water,Ice Beam,Hypnosis
Milotic,Psychic Hannah & Sylvia,85,Muddy Water,Coil,Hypnosis,Recover
Milotic,Lass Andrea & Connie,91,Muddy Water,Icy Wind,Hypnosis,Recover
Miltank,Ranger Lorenzo,70,Body Slam,Body Press,Zen Headbutt,Curse
Miltank,Magma Grunt Magma Hideout #7 & Grunt 8,76,Return,Body Press,Curse,Milk Drink
Miltank,Black Belt Hawk,95,Body Slam,Milk Drink,Stealth Rock,Thunder Wave
Miltank,Expert Timothy,96,Body Slam,Body Press,Curse,Milk Drink
Mimikyu,Pokéfan Miguel,39,Play Rough,Shadow Sneak,Drain Punch,Swords Dance
Mimikyu,Rich Boy Braw,48,Play Rough,Shadow Claw,Shadow Sneak,Will-O-Wisp
Mimikyu,Ruin Maniac Garrison & Jani,64,Play Rough,Shadow Claw,Destiny Bond,Trick Room
Mimikyu,Pokéfan Vanessa,72,Play Rough,Shadow Claw,Swords Dance,Trick Room
Mimikyu,Sis And Bro Reli And Ian,89,Play Rough,Shadow Claw,Shadow Sneak,Swords Dance
Mimikyu,Psychic Cameron & Kindra,96,Play Rough,Shadow Claw,Drain Punch,Swords Dance
Minccino,Lady Cindy,10,Swift,Attract,Thunder Wave,
Minior,Swimmer♂ Dean,86,Stone Edge,Acrobatics,Earthquake,Shell Smash
Minun,Guitarist Shawn & Angelo,34,Thunderbolt,Electroweb,Electric Terrain,Helping Hand
Mismagius,Parasol Lady Angelica,69,Shadow Ball,Dazzling Gleam,Mystical Fire,Nasty Plot
Mismagius,Hex Maniac Valerie,74,Shadow Ball,Energy Ball,Mystical Fire,Destiny Bond
Mismagius,Psychic Preston & Maura,85,Shadow Ball,Shadow Sneak,Mystical Fire,Psych Up
Moltres,Magma Admin Tabitha Space Center,88,Burn Up,Hurricane,Detect,Tailwind
Moltres-Galar,Trainer Rival Lilycove Sceptile,73,Hurricane,Fiery Wrath,Heat Wave,Agility
Morpeko,Ranger Jackson,62,Aura Wheel,Seed Bomb,Stomping Tantrum,Super Fang
Mothim,Bug Catcher Doug,62,Bug Buzz,Acrobatics,Giga Drain,Infestation
Mr. Mime,Ranger Lorenzo,70,Moonblast,Psychic,Mystical Fire,Grass Knot
Mr. Mime-Galar,Ranger Catherine,63,Freeze-Dry,Hypnosis,Light Screen,Reflect
Mr. Rime,Psychic Marlene,52,Ice Beam,Psyshock,Teeter Dance,Thunder Wave
Mr. Rime,Beauty Tiffany & Olivia,90,Blizzard,Psychic,Icy Wind,Fake Out
Mr. Rime,Ninja Boy Jonas & Fredrick,96,Blizzard,Stored Power,Freeze-Dry,Fake Out
Mudsdale,Cool Trainer Alexia,39,High Horsepower,Body Press,Iron Defense,Stealth Rock
Mudsdale,Breeder Myles,69,Earthquake,Body Press,Smack Down,Substitute
Mudsdale,Cool Trainer Caroline,94,Earthquake,Body Press,Payback,Heavy Slam
Mudsdale,Black Belt Hawk,95,Earthquake,Stone Edge,Heavy Slam,Counter
Muk,Pokémaniac Steve,50,Gunk Shot,Explosion,Fire Punch,Ice Punch
Muk,Cool Trainer Quincy,94,Gunk Shot,Explosion,Fire Punch,Curse
Muk-Alola,Ninja Boy Lao,45,Gunk Shot,Knock Off,Ice Punch,Curse
Muk-Alola,Hex Maniac Tasha,73,Poison Jab,Payback,Brick Break,Curse
Muk-Alola,Team Magma Grunt Magma Hideout #11,77,Gunk Shot,Knock Off,Pursuit,Explosion
Muk-Alola,Team Aqua Grunt Seafloor Cavern #2,86,Poison Jab,Knock Off,Explosion,Focus Punch
Munchlax,Ruin Maniac Georgie,13,Headbutt,Belly Drum,,
Murkrow,Team Aqua Grunt Museum #1,15,Wing Attack,Payback,Night Shade,
Musharna,Parasol Lady Angelica,69,Psychic,Moonblast,Calm Mind,Dark Void
Naganadel,Magma Leader Maxie Magma Hideout,79,Sludge Wave,Dragon Pulse,Flamethrower,U-turn
Necrozma,Elite Four Sidney,99,Photon Geyser,Heat Wave,Knock Off,Stealth Rock
Nidoking,Ruin Maniac Bryan & Celia,45,Drill Run,Poison Jab,Thunderbolt,Flamethrower
Nidoking,Rich Boy Braw,48,Earth Power,Blizzard,Thunder,Lovely Kiss
Nidoking,Hiker Eli,54,Sludge Bomb,Earth Power,Fire Blast,Substitute
Nidoking,Team Magma Grunt Magma Hideout #3,74,Earthquake,Poison Jab,Ice Punch,Stealth Rock
Nidoking,Triathlete Chase & Allison,88,Sludge Bomb,Earth Power,Flamethrower,Thunderbolt
Nidoking,Triathlete Darren,94,Earth Power,Sludge Wave,Ice Beam,Counter
Nidoking,Elite Four Sidney,99,Sludge Wave,Earth Power,Ice Beam,Dark Pulse
Nidoqueen,Ninja Boy Jinra,44,Earth Power,Sludge Bomb,Flamethrower,Ice Beam
Nidoqueen,Beauty Johanna,58,Sludge Wave,Earth Power,Lovely Kiss,Toxic Spikes
Nidoqueen,Swimmer♂ Cranberry,81,Sludge Wave,Earth Power,Blizzard,Fire Blast
Nidoqueen,Old Couple John And Jay,96,Sludge Wave,Earth Power,Blizzard,Fire Blast
Nidorina,Tuber Hailey,15,Venoshock,Water Pulse,Shock Wave,Toxic
Nidorino,Tuber Ricky,15,Venoshock,Poison Tail,Double Kick,Sand Attack
Nihilego,Aqua Admin Shelly Weather Institute,64,Meteor Beam,Sludge Wave,Power Gem,Stealth Rock
Ninetales,Rich Boy Santos,46,Flamethrower,Solar Beam,Extrasensory,Hypnosis
Ninetales,Cool Trainer Gerald,54,Flamethrower,Psychic,Hypnosis,Nasty Plot
Ninetales,Magma Grunt Magma Hideout #7 & Grunt 8,78,Heat Wave,Flamethrower,Scorching Sands,Imprison
Ninetales-Alola,Aqua Grunt Weather Inst #4 & Grunt 5,64,Moonblast,Freeze-Dry,Hypnosis,Aurora Veil
Ninetales-Alola,Team Aqua Grunt Aqua Hideout #4,79,Moonblast,Freeze-Dry,Aurora Veil,Nasty Plot
Ninetales-Alola,Sr. And Jr. Kim And Iris,85,Blizzard,Moonblast,Icy Wind,Aurora Veil
Ninetales-Alola,Cool Trainer Edgar,94,Moonblast,Freeze-Dry,Weather Ball,Nasty Plot
Ninjask,Bug Catcher Lyle,21,Leech Life,Dual Wingbeat,Giga Drain,
Ninjask,Triathlete Abigail,33,U-turn,,,
Ninjask,Cool Trainer Randall,39,X-Scissor,Dual Wingbeat,Dig,Swords Dance
Ninjask,Team Magma Grunt Magma Hideout  #12,76,Dual Wingbeat,Leech Life,Protect,Swords Dance
Noctowl,Cool Trainer Wilton,43,Hurricane,Hyper Voice,Heat Wave,Hypnosis
Noivern,Black Belt Rhett & Marcos,37,Dragon Pulse,Air Slash,Flamethrower,Tailwind
Noivern,Bird Keeper Darius,67,Hurricane,Dragon Pulse,Flamethrower,Super Fang
Noivern,Team Aqua Grunt Aqua Hideout #6,78,Hurricane,Dragon Pulse,Double Team,Roost
Noivern,Psychic Preston & Maura,85,Hurricane,Focus Blast,Super Fang,Tailwind
Noivern,Black Belt Hawk,95,Dragon Rush,Acrobatics,Heat Wave,Dragon Dance
Numel,Lass Haley,23,Earth Power,Lava Plume,Flame Charge,Ancient Power
Obstagoon,Ninja Boy Yasu & Fabian,65,Frustration,Throat Chop,Retaliate,Close Combat
Obstagoon,Psychic Cedric,73,Double-Edge,Night Slash,Close Combat,Bulk Up
Obstagoon,Team Aqua Grunt Aqua Hideout #8,78,Facade,Knock Off,Close Combat,Obstruct
Obstagoon,Trainer Wally VR,95,Facade,Knock Off,Cross Chop,Bulk Up
Octillery,Cool Trainer Parker,39,Octazooka,Gunk Shot,Bullet Seed,Focus Energy
Octillery,Kindler Cole,53,Fire Blast,Gunk Shot,Psychic,Thunder Wave
Octillery,Team Aqua Grunt Mt Pyre #3,75,Water Spout,Octazooka,Sludge Wave,Energy Ball
Octillery,Team Aqua Grunt Aqua Hideout #7,79,Water Spout,Octazooka,Energy Ball,Ice Beam
Omastar,Team Aqua Grunt Weather Inst #2,61,Surf,Power Gem,Earth Power,Rain Dance
Omastar,Hex Maniac Tasha,73,Surf,Power Gem,Spikes,Stealth Rock
Omastar,Team Aqua Grunt Aqua Hideout #3,80,Power Gem,Earth Power,Spikes,Stealth Rock
Oranguru,Ninja Boy Takashi & Dayton,62,Psychic,Focus Blast,Thunder,Trick Room
Oranguru,Breeder Myles,69,Psychic,Aura Sphere,Shadow Ball,Calm Mind
Oranguru,Cool Trainer Wendy & Braxton,96,Psychic,Stored Power,Psych Up,Trick Room
Orbeetle,Psychic Brandi & Aisha,27,Psychic,Bug Buzz,Hypnosis,Recover
Orbeetle,Guitarist Fernando & Jazmyn,95,Future Sight,Bug Buzz,Infestation,Hypnosis
Oricorio,Lass Janice,23,Revelation Dance,Pluck,Feather Dance,Swords Dance
Oricorio,Camper Flint & Edwardo,67,Revelation Dance,Air Slash,Teeter Dance,Roost
Oricorio-Pa'u,Camper Flint & Edwardo,67,Revelation Dance,Hidden Power Fire,Teeter Dance,Calm Mind
Oricorio-Pom-Pom,Battle Girl Vivian,32,Revelation Dance,Air Slash,Teeter Dance,Roost
Oricorio-Pom-Pom,Camper Flint & Edwardo,67,Revelation Dance,Air Slash,Icy Wind,Feather Dance
Oricorio-Sensu,Kindler Hayden,33,Revelation Dance,Air Slash,Calm Mind,Teeter Dance
Overqwil,Cool Trainer Carolina & Cory,64,Gunk Shot,Throat Chop,Liquidation,Icy Wind
Overqwil,Aqua Leader Archie Seafloor Cavern,89,Gunk Shot,Throat Chop,Waterfall,Swords Dance
Overqwil,Pokéfan Bethany,90,Gunk Shot,Throat Chop,Liquidation,Destiny Bond
Overqwil,Swimmer♂ Zappator,90,Throat Chop,Explosion,Spikes,Toxic Spikes
Overqwil,Elite Four SidneyDouble,99,Gunk Shot,Crunch,Fell Stinger,Icy Wind
Pachirisu,Triathlete Benjamin,35,Nuzzle,Super Fang,Light Screen,Reflect
Palkia,Champion Wallace,100,Draco Meteor,Hydro Pump,Earth Power,Focus Energy
Palossand,Camper Beau,44,Scorching Sands,Hex,Ancient Power,Shore Up
Palpitoad,Sailor Edmond,14,Bubble Beam,Mud Shot,Sludge,Rain Dance
Pangoro,Ranger Jenna,69,Close Combat,Knock Off,Gunk Shot,
Pangoro,Team Aqua Grunt Aqua Hideout #1,76,Close Combat,Crunch,Gunk Shot,Stone Edge
Parasect,Bug Maniac Taylor,61,Leech Life,Knock Off,Double Team,Spore
Passimian,Black Belt Daisuke,45,Close Combat,Rock Slide,Knock Off,Acrobatics
Passimian,Breeder Myles,70,Close Combat,Iron Tail,Knock Off,Rock Slide
Passimian,Gentleman Clifford & Macey,85,Close Combat,Rock Slide,Poison Jab,Detect
Pelipper,Fisherman Barny,61,Hurricane,U-turn,Knock Off,Weather Ball
Pelipper,Picnicker Ashley,68,Hurricane,Weather Ball,,
Pelipper,Cool Trainer Shannon,94,Hydro Pump,Hurricane,Icy Wind,Detect
Pelipper,Psychic Jacki & Alberto,95,Hurricane,Weather Ball,Detect,Tailwind
Perrserker,Lady Sarah,24,Iron Tail,Bullet Punch,Thunder,Hone Claws
Perrserker,Camper Beau,44,Iron Tail,Bullet Punch,Close Combat,Gunk Shot
Perrserker,Young Couple Dez And Luke,72,Iron Tail,Bullet Punch,Close Combat,Fake Out
Perrserker,Psychic Blake & Samantha,85,Iron Tail,Close Combat,Fake Out,Metal Sound
Persian,Twins Amy And Liv,39,Fake Out,Flail,Dream Eater,Hypnosis
Persian,Tuber Simon,58,Hyper Voice,Hypnosis,Nasty Plot,Substitute
Persian-Alola,Triathlete Dylan,29,Snarl,Shock Wave,Icy Wind,Nasty Plot
Persian-Alola,Team Aqua Grunt Aqua Hideout #1,77,Night Slash,Gunk Shot,Play Rough,Hypnosis
Phanpy,Lady Cindy,10,Stomp,Attract,,
Pheromosa,Winstrate Vito VR,96,Close Combat,Bug Buzz,Ice Beam,Throat Chop
Pidgeot-Mega,Leader Norman,42,Hurricane,Hyper Voice,Heat Wave,Hidden Power Grass
Pidgeotto,Youngster Joey,23,Air Slash,Swift,Heat Wave,Steel Wing
Pignite,Battle Girl Jocelyn,18,Incinerate,Flame Charge,Arm Thrust,Take Down
Pikachu,Youngster Ben,33,Volt Tackle,Iron Tail,Surf,Extreme Speed
Pikachu,Bird Keeper Hugh,61,Thunder,Fly,Surf,Knock Off
Pikachu,Triathlete Darren,100,Volt Tackle,Thunder,Surf,Grass Knot
Piloswine,Camper Travis,45,Earthquake,Icicle Spear,Curse,Rest
Pincurchin,Guitarist Kirk,32,Rising Voltage,Liquidation,Poison Jab,Toxic Spikes
Pincurchin,Swimmer♀ Grace & Declan,82,Rising Voltage,Self-Destruct,Muddy Water,Thunder Wave
Pincurchin,Lass Crissy,91,Rising Voltage,Self-Destruct,Hydro Pump,Toxic Spikes
Pincurchin,Dumbass Soupercell,100,Memento,Spikes,Toxic Spikes,
Pineco,Bug Catcher Rick,6,Pin Missile,Iron Defense,,
Pinsir,Bug Catcher Jose,24,X-Scissor,Rock Slide,Storm Throw,Bulk Up
Pinsir-Mega,Bird Keeper Aidan & Athena,90,Close Combat,Return,Feint,Swords Dance
Pinsir-Mega,Cool Trainer Katelynn,95,Earthquake,Frustration,Quick Attack,Swords Dance
Plusle,Guitarist Shawn & Angelo,33,Thunderbolt,Signal Beam,Hidden Power Ice,Grass Knot
Politoed,Fisherman Kai,47,Scald,Psychic,Protect,Toxic
Politoed,Team Aqua Grunt Aqua Hideout #6,80,Ice Beam,Earth Power,Weather Ball,Hypnosis
Politoed,Pokéfan Bethany,91,Hydro Pump,Focus Blast,Psychic,Hypnosis
Poliwhirl,Leader Brawly,19,Bubble Beam,Ice Beam,Hidden Power Grass,Superpower
Poliwrath,Black Belt Rhett & Marcos,38,Liquidation,Drain Punch,Ice Punch,Belly Drum
Poliwrath,Cool Trainer Jennifer & Callie,70,Close Combat,Hydro Pump,Coaching,Hypnosis
Poliwrath,Black Belt Atsushi,74,Close Combat,Liquidation,Double Team,Hypnosis
Poliwrath,Team Aqua Grunt Aqua Hideout #6,79,Liquidation,Drain Punch,Darkest Lariat,Belly Drum
Poliwrath,Swimmer♀ Tisha,88,Liquidation,Drain Punch,Belly Drum,Hypnosis
Polteageist,Pokémaniac Steve,50,Shadow Ball,Giga Drain,Stored Power,Shell Smash
Polteageist,Psychic Cedric,73,Shadow Ball,Self-Destruct,Stored Power,Shell Smash
Polteageist,Swimmer♂ Dean,86,Shadow Ball,Giga Drain,Stored Power,Shell Smash
Ponyta,Camper Gavi,17,Flame Wheel,Play Rough,Double Kick,
Poochyena,Youngster Calvin,5,Bite,Quick Attack,Sand Attack,
Porygon,Youngster Ben,33,Discharge,Ice Beam,Recover,Thunder Wave
Porygon2,Leader Norman,41,Tri Attack,Ice Beam,Recover,Thunder Wave
Porygon2,Expert Kevin,67,Tri Attack,Ice Beam,Recover,Thunder Wave
Porygon2,Breeder Pat,69,Tri Attack,Psychic,Dark Pulse,Agility
Porygon2,Psychic Blake & Samantha,85,Tri Attack,Thunder,Psychic,Trick Room
Porygon2,Black Belt Koichi,95,Tri Attack,Blizzard,Thunder,Foul Play
Porygon2,Elite Four GlaciaDouble,99,Tri Attack,Blizzard,Psychic,Trick Room
Porygon-Z,Team Aqua Grunt Weather Inst #3,63,Tri Attack,Ice Beam,Dark Pulse,Hidden Power Fire
Porygon-Z,Swimmer♂ Herman,90,Tri Attack,Thunder,Dark Pulse,Nasty Plot
Primarina,Beauty Johanna,58,Scald,Draining Kiss,Calm Mind,Protect
Primarina,Triathlete Aubrey,83,Hyper Voice,Draining Kiss,Psychic,Sing
Primarina,Triathlete Xayah,90,Moonblast,Psychic,Weather Ball,Calm Mind
Primarina,Lady Daphne,91,Hyper Voice,Draining Kiss,Psychic,Calm Mind
Primeape,Hiker Devan,25,Cross Chop,Stone Edge,Night Slash,Focus Energy
Primeape,Camper Merc,51,Close Combat,Stone Edge,Earthquake,Poison Jab
Probopass,Hiker Mike,26,Power Gem,Flash Cannon,Earth Power,Thunderbolt
Probopass,Camper Beau,46,Flash Cannon,Power Gem,Explosion,Zap Cannon
Psyduck,Youngster Allen,7,Bubble Beam,Psywave,,
Purugly,School Kid Jerry & Johnson,23,Fake Out,Super Fang,Fake Tears,Hypnosis
Purugly,Picnicker Angelina,49,Double-Edge,Stomping Tantrum,Super Fang,Hypnosis
Purugly,Psychic Hannah & Sylvia,85,Return,Fake Out,Throat Chop,Leer
Pyroar,Sr. And Jr. Tyra And Ivy,50,Retaliate,Hyper Voice,Burning Jealousy,Protect
Pyroar,Breeder Myles,71,Fire Blast,Hyper Voice,Solar Beam,Scorching Sands
Pyroar,Team Magma Grunt Magma Hideout #4,75,Fire Blast,Hyper Voice,Fire Spin,Yawn
Pyroar,Psychic Alix,95,Fire Blast,Hyper Voice,Endeavor,Will-O-Wisp
Pyukumuku,Swimmer♂ Rodney,90,Double Team,Recover,Soak,Toxic
Quagsire,Battle Girl Luna,28,Earthquake,Ice Punch,Curse,Recover
Qwilfish,Fisherman Ivan,22,Dive,Venoshock,Toxic,Protect
Qwilfish,Fisherman Claude,48,Poison Jab,Waterfall,Explosion,Toxic Spikes
Raichu,School Kid Karen,24,Discharge,Surf,Grass Knot,Extreme Speed
Raichu,Parasol Lady Madeline,45,Thunderbolt,Grass Knot,Extreme Speed,Fake Out
Raichu,Team Aqua Grunt Mt Pyre #5 & GruntMtPyre6,75,Thunderbolt,Grass Knot,Fake Out,Helping Hand
Raichu,Hex Maniac Gongas,95,Thunder,Surf,Grass Knot,Counter
Raichu-Alola,Guitarist Kirk,32,Discharge,Psyshock,Surf,Signal Beam
Raichu-Alola,Trainer Rival Bridge Sceptile,65,Thunder,Psychic,Endeavor,Fake Out
Raichu-Alola,Breeder Gabrielle,73,Thunder,Psychic,Grass Knot,Sing
Raichu-Alola,Team Aqua Grunt Aqua Hideout #5,79,Psychic,Discharge,Grass Knot,Nasty Plot
Raichu-Alola,Lass Crissy,90,Rising Voltage,Surf,Grass Knot,Nasty Plot
Raikou,Aqua Admin Matt Aqua Hideout,82,Thunderbolt,Scald,Signal Beam,Calm Mind
Rampardos,Cool Trainer Jody,41,Rock Slide,Crunch,Zen Headbutt,Fire Punch
Rampardos,Psychic Blake & Samantha,85,Head Smash,Rock Slide,,
Rapidash,Triathlete Maria,29,Flare Blitz,Megahorn,High Horsepower,Hypnosis
Rapidash-Galar,Triathlete Jasmine,36,Play Rough,Zen Headbutt,Hypnosis,Will-O-Wisp
Rapidash-Galar,Kindler Keegan,54,Play Rough,Zen Headbutt,Mystical Fire,Will-O-Wisp
Rapidash-Galar,Psychic Hannah & Sylvia,85,Play Rough,Zen Headbutt,High Horsepower,Swords Dance
Raticate,Youngster Joey,22,Hyper Fang,Zen Headbutt,Brick Break,Sucker Punch
Raticate,Triathlete Benjamin,35,Facade,Quick Attack,Stomping Tantrum,Swords Dance
Raticate-Alola,Young Couple Dez And Luke,73,Double-Edge,Sucker Punch,Zen Headbutt,Stomping Tantrum
Relicanth,Hiker Lucas,50,Stone Edge,Liquidation,Flail,Rock Polish
Relicanth,Team Aqua Grunt Mt Pyre #3,73,Head Smash,Aqua Tail,Whirlpool,Earthquake
Reshiram,Elite Four Drake,100,Blue Flare,Dragon Pulse,Earth Power,Roost
Reuniclus,Pokéfan Vanessa,71,Psychic,Thunder,Signal Beam,Trick Room
Rhydon,Trainer Chelle Daycare,32,Drill Run,Rock Slide,Double-Edge,Stealth Rock
Rhydon,Pokémaniac Mark,73,Head Smash,Earthquake,Counter,Stealth Rock
Rhyperior,Camper Branden,44,Drill Run,Avalanche,Dragon Tail,Protect
Rhyperior,Parasol Lady Madeline,44,Earthquake,Stone Edge,High Horsepower,Helping Hand
Rhyperior,Hiker Eli,55,Earthquake,Stone Edge,Heat Crash,Stealth Rock
